,1st week,2nd week,3rd week,4th week
462,7.7,9.8,9.45,22.75
463,8.05,11.2,9.45,12.95
464,7.7,11.2,11.2,11.9
465,8.4,12.6,11.55,12.25
466,8.05,13.65,11.2,13.65
467,8.4,12.95,10.5,12.6
468,7.7,11.2,10.15,11.2
469,8.05,10.5,9.8,11.9
470,8.4,11.2,9.8,12.25
471,7.35,10.5,9.45,11.9
472,8.05,9.8,9.8,11.9
473,7.7,9.45,9.1,10.85
474,7.7,9.45,9.8,10.5
475,7.7,9.8,9.45,11.2
476,7.7,9.45,9.8,10.15
477,7.7,9.45,9.45,10.15
478,7.7,9.45,9.8,10.15
479,7.7,9.8,9.1,10.15
480,7.7,9.45,9.8,10.15
481,7.7,9.8,9.45,10.15
482,7.7,9.8,9.8,9.8
483,7.7,9.1,9.45,10.15
484,7.7,9.8,9.45,10.5
485,7.7,9.1,9.45,9.8
486,7.7,9.8,9.1,10.15
487,7.7,9.8,8.75,10.15
488,7.7,9.45,8.75,9.8
489,7.7,9.1,8.4,9.8
490,7.35,14.35,16.1,12.25
491,7.35,20.3,19.6,21.0
492,7.35,19.95,19.6,20.65
493,7.35,20.3,19.6,20.65
494,7.35,19.95,19.6,19.95
495,7.7,20.3,19.25,21.0
496,7.35,20.3,19.6,20.3
497,7.7,19.95,19.6,21.35
498,7.7,20.65,19.6,20.3
499,7.7,19.95,19.25,20.65
500,7.35,19.6,18.9,20.3
501,7.0,19.6,17.5,19.25
502,5.6,19.25,17.5,18.55
503,5.6,18.9,15.05,17.85
504,4.55,17.85,16.1,16.45
505,3.85,12.95,14.0,13.65
506,2.8,11.2,12.95,10.85
507,2.45,6.65,6.65,8.05
508,2.1,3.15,3.85,3.15
509,1.05,0.35,1.75,1.05
510,0.7,0.0,1.05,0.0
511,0.0,0.0,1.05,0.0
512,0.0,2.1,6.3,0.0
513,0.0,4.2,3.15,0.0
514,0.0,3.5,5.6,0.0
515,0.0,1.75,0.0,0.0
516,0.0,0.7,3.85,0.0
517,0.0,1.75,2.8,0.0
518,0.0,3.85,7.0,0.0
519,0.0,0.0,5.25,0.0
520,0.0,3.15,3.5,0.0
521,0.0,7.0,3.85,0.0
522,0.0,0.7,0.0,0.0
523,0.0,0.7,4.55,0.0
524,0.0,1.05,0.35,0.0
525,0.0,1.75,4.55,0.0
526,0.0,4.55,1.75,0.0
527,0.0,4.2,1.4,0.0
528,0.0,1.4,0.0,0.0
529,0.0,3.15,2.8,0.0
530,0.0,2.45,6.65,0.0
531,0.0,6.3,0.7,0.0
532,0.0,8.4,2.1,0.0
533,1.05,7.0,0.35,0.0
534,0.35,5.25,0.35,0.0
535,0.0,5.95,0.7,0.0
536,0.0,2.45,1.05,0.0
537,0.0,0.0,0.0,0.0
538,0.0,2.45,0.0,0.0
